TTP_ID,MITRE_ID,Tactic,Technique,Sub_Technique,Description,Threat_Actor,Tools_Used,Detection_Methods,Countermeasures
TTP021,T1055,Defense Evasion,Process Injection,,Injecting malicious code into legitimate processes via kernel access,Multiple threat actors,Kernel-mode process injection,Process injection detection,Process integrity monitoring
TTP022,T1574,Persistence,Hijack Execution Flow,,Manipulating program execution flow for persistent driver loading,Multiple threat actors,Execution flow manipulation,Execution flow monitoring,Code integrity verification
TTP023,T1562.002,Defense Evasion,Impair Defenses: Disable Windows Event Logging,,Disabling ETW and event logging using kernel privileges,Multiple threat actors,ETW disruption techniques,ETW tampering detection,ETW protection; Event log monitoring
TTP024,T1112,Defense Evasion,Modify Registry,,Modifying registry entries to facilitate driver loading and persistence,Multiple threat actors,Registry modification tools,Registry monitoring,Registry protection; Change auditing
TTP025,T1070.004,Defense Evasion,Indicator Removal on Host: File Deletion,,Deleting malicious drivers and artifacts after use,Medusa,File deletion commands,File deletion monitoring; Forensic recovery,File integrity monitoring; Forensic tools
TTP026,T1566.002,Initial Access,Phishing: Spearphishing Link,,Fake driver update social engineering using driver-themed domains and filenames,Lazarus Group,ClickFake campaigns; smartdriverfix[.]cloud,URL reputation; Domain analysis; User training,URL filtering; DNS blocking; Security awareness
TTP027,T1105,Command and Control,Ingress Tool Transfer,,Downloading malicious drivers disguised as legitimate driver updates,Lazarus Group,curl; wget; PowerShell download,Network monitoring; File download analysis,Network DLP; Content inspection; Endpoint protection
TTP028,T1059.001,Execution,Command and Scripting Interpreter: PowerShell,,Using PowerShell to extract and execute malicious driver packages,Lazarus Group,PowerShell Expand-Archive,PowerShell logging; Script execution monitoring,PowerShell execution policies; Script blocking
TTP029,T1059.005,Execution,Command and Scripting Interpreter: Visual Basic,,Executing VBS scripts as part of fake driver update delivery chain,Lazarus Group,wscript; cscript; VBS files,VBS execution monitoring; Script analysis,Script execution restrictions; Application whitelisting
TTP030,T1036.005,Defense Evasion,Masquerading: Match Legitimate Name or Location,,Using driver-themed filenames to masquerade malicious payloads,Lazarus Group,nvidiadrivers.zip; driver update themes,File naming analysis; Behavioral detection,File reputation; Content analysis; User training
